battery,exec_timestamp,planning_timestamp,task
99,1636147485889,1636147397145,"dummy"
99,1636147517795,1636147485609,"dummy"
99,1636147578038,1636147517779,"dummy"
99,1636147638296,1636147578020,"dummy"
99,1636147697612,1636147638278,"dummy"
99,1636147757709,1636147697545,"dummy"
99,1636147817995,1636147757692,"dummy"
99,1636147877196,1636147817980,"dummy"
99,1636147937577,1636147877174,"dummy"
99,1636147997850,1636147937558,"dummy"
98,1636148091120,1636147997832,"dummy"
98,1636148117510,1636148091085,"dummy"
98,1636148177177,1636148117470,"dummy"
98,1636148237723,1636148177161,"dummy"
98,1636148297998,1636148237702,"dummy"
98,1636148358273,1636148297981,"dummy"
98,1636148417540,1636148358250,"dummy"
98,1636148477246,1636148417522,"dummy"
98,1636148537576,1636148477228,"dummy"
98,1636148597837,1636148537559,"dummy"
98,1636148658104,1636148597818,"dummy"
98,1636148717356,1636148658084,"dummy"
98,1636148777620,1636148717339,"dummy"
98,1636148837656,1636148777593,"dummy"
98,1636148897948,1636148837637,"dummy"
98,1636148958230,1636148897925,"dummy"
98,1636149017499,1636148958214,"dummy"
98,1636149077311,1636149017483,"dummy"
98,1636149137840,1636149077278,"dummy"
98,1636149207113,1636149137821,"dummy"
98,1636149257377,1636149207097,"dummy"
98,1636149317642,1636149257362,"dummy"
98,1636149377916,1636149317626,"dummy"
98,1636149437827,1636149377899,"dummy"
98,1636149498086,1636149437810,"dummy"
98,1636149563337,1636149498069,"dummy"
98,1636149617597,1636149563316,"dummy"
98,1636149678078,1636149617576,"dummy"
98,1636149737359,1636149678061,"dummy"
98,1636149797846,1636149737331,"dummy"
98,1636149858096,1636149797825,"dummy"
98,1636149917382,1636149858079,"dummy"
98,1636149982727,1636149917364,"dummy"
98,1636150038075,1636149982706,"dummy"
98,1636150097361,1636150038057,"dummy"
98,1636150166607,1636150097335,"dummy"
98,1636150217867,1636150166589,"dummy"
98,1636150277182,1636150217850,"dummy"
98,1636150337452,1636150277161,"dummy"
98,1636150397712,1636150337429,"dummy"
98,1636150457971,1636150397691,"dummy"
98,1636150518207,1636150457953,"dummy"
98,1636150577472,1636150518189,"dummy"
98,1636150637740,1636150577454,"dummy"
98,1636150723018,1636150637720,"dummy"
98,1636150775296,1636150723002,"dummy"
98,1636150817543,1636150775275,"dummy"
98,1636150878066,1636150817527,"dummy"
98,1636150942801,1636150878049,"dummy"
98,1636150998121,1636150942779,"dummy"
98,1636151057572,1636150998104,"dummy"
98,1636151117837,1636151057552,"dummy"
98,1636151178097,1636151117817,"dummy"
98,1636151237361,1636151178081,"dummy"
98,1636151297607,1636151237343,"dummy"
98,1636151357857,1636151297588,"dummy"
98,1636151417434,1636151357841,"dummy"
97,1636151477181,1636151417417,"dummy"
97,1636151537445,1636151477164,"dummy"
97,1636151597716,1636151537426,"dummy"
97,1636151657992,1636151597697,"dummy"
