battery,exec_timestamp,planning_timestamp,task
89,1636380176143,1636380077142,"dummy"
89,1636380203288,1636380176107,"dummy"
89,1636380257949,1636380203267,"dummy"
89,1636380743290,1636380257910,"dummy"
89,1636381343216,1636380743248,"dummy"
89,1636381643330,1636381343186,"dummy"
89,1636382243291,1636381643282,"dummy"
89,1636382843246,1636382243261,"dummy"
89,1636383442870,1636382843227,"dummy"
89,1636384043209,1636383442847,"dummy"
89,1636384343231,1636384043186,"dummy"
89,1636384943242,1636384343209,"dummy"
88,1636385543269,1636384943220,"dummy"
88,1636385843196,1636385543246,"dummy"
88,1636386443273,1636385843168,"dummy"
88,1636387042874,1636386443237,"dummy"
88,1636387343256,1636387042845,"dummy"
88,1636387357765,1636387343238,"dummy"
88,1636387357801,1636387357746,"dummy"
88,1636387643321,1636387357780,"dummy"
88,1636387943294,1636387643278,"dummy"
88,1636388242938,1636387943268,"dummy"
88,1636388543256,1636388242873,"dummy"
88,1636389143233,1636388543215,"dummy"
88,1636389443221,1636389143185,"dummy"
88,1636389743265,1636389443177,"dummy"
88,1636390042902,1636389743236,"dummy"
87,1636390343216,1636390042867,"dummy"
87,1636390644400,1636390343190,"dummy"
87,1636390943265,1636390644344,"dummy"
87,1636391243238,1636390943239,"dummy"
87,1636391544260,1636391243214,"dummy"
87,1636391843221,1636391544212,"dummy"
87,1636392443246,1636391843186,"dummy"
87,1636393342893,1636392443205,"dummy"
87,1636393643338,1636393342878,"dummy"
87,1636394243248,1636393643315,"dummy"
86,1636394843311,1636394243205,"dummy"
86,1636395143247,1636394843282,"dummy"
86,1636395743284,1636395143228,"dummy"
86,1636396043325,1636395743240,"dummy"
86,1636396344271,1636396043285,"dummy"
86,1636396643675,1636396344250,"dummy"
86,1636396943275,1636396643651,"dummy"
86,1636397244222,1636396943235,"dummy"
86,1636397843246,1636397244181,"dummy"
85,1636398743264,1636397843213,"dummy"
85,1636399343291,1636398743243,"dummy"
85,1636399643325,1636399343270,"dummy"
85,1636400243282,1636399643303,"dummy"
85,1636400974516,1636400243227,"dummy"
85,1636401442909,1636400974513,"dummy"
85,1636402043235,1636401442889,"dummy"
85,1636402643232,1636402043203,"dummy"
85,1636403243226,1636402643206,"dummy"
85,1636403843278,1636403243211,"dummy"
84,1636404443248,1636403843238,"dummy"
84,1636405043228,1636404443208,"dummy"
84,1636405643224,1636405043191,"dummy"
84,1636405943272,1636405643201,"dummy"
84,1636406243239,1636405943222,"dummy"
84,1636406843237,1636406243203,"dummy"
84,1636407443238,1636406843217,"dummy"
84,1636407743196,1636407443203,"dummy"
84,1636408342874,1636407743177,"dummy"
84,1636408943259,1636408342848,"dummy"
84,1636409244214,1636408943239,"dummy"
84,1636409543236,1636409244182,"dummy"
84,1636409843347,1636409543209,"dummy"
84,1636410443233,1636409843270,"dummy"
83,1636411042857,1636410443185,"dummy"
83,1636411644235,1636411042839,"dummy"
83,1636412243213,1636411644199,"dummy"
83,1636412543269,1636412243176,"dummy"
83,1636413143209,1636412543234,"dummy"
83,1636413743225,1636413143186,"dummy"
83,1636414043227,1636413743196,"dummy"
83,1636414643215,1636414043197,"dummy"
83,1636415243235,1636414643193,"dummy"
83,1636415843211,1636415243203,"dummy"
83,1636416443298,1636415843185,"dummy"
83,1636416743210,1636416443269,"dummy"
83,1636417043334,1636416743191,"dummy"
82,1636417643236,1636417043301,"dummy"
82,1636418243227,1636417643214,"dummy"
82,1636418543242,1636418243188,"dummy"
82,1636418842859,1636418543223,"dummy"
82,1636419442895,1636418842836,"dummy"
82,1636420042885,1636419442868,"dummy"
81,1636420343226,1636420042830,"dummy"
81,1636420643919,1636420343194,"dummy"
81,1636421242856,1636420643912,"dummy"
81,1636421844231,1636421242838,"dummy"
81,1636422143305,1636421844206,"dummy"
81,1636422443296,1636422143270,"dummy"
81,1636423044136,1636422443244,"dummy"
81,1636423642869,1636423044112,"dummy"
81,1636423943270,1636423642853,"dummy"
81,1636424242943,1636423943233,"dummy"
81,1636424842875,1636424242885,"dummy"
81,1636425443248,1636424842839,"dummy"
80,1636425742911,1636425443214,"dummy"
80,1636426043250,1636425742888,"dummy"
80,1636426643233,1636426043225,"dummy"
80,1636427243261,1636426643187,"dummy"
80,1636427543297,1636427243185,"dummy"
80,1636427842867,1636427543260,"dummy"
80,1636428443337,1636427842837,"dummy"
80,1636429043226,1636428443314,"dummy"
80,1636429343256,1636429043197,"dummy"
80,1636429643239,1636429343220,"dummy"
80,1636430242883,1636429643197,"dummy"
80,1636430843233,1636430242862,"dummy"
80,1636431143310,1636430843202,"dummy"
80,1636431443241,1636431143277,"dummy"
80,1636432043227,1636431443186,"dummy"
80,1636432643224,1636432043206,"dummy"
80,1636432943321,1636432643190,"dummy"
79,1636433243254,1636432943286,"dummy"
79,1636433843257,1636433243236,"dummy"
79,1636434442859,1636433843222,"dummy"
79,1636434742933,1636434442829,"dummy"
79,1636435043242,1636434742904,"dummy"
79,1636435644210,1636435043216,"dummy"
79,1636436242916,1636435644180,"dummy"
79,1636436544397,1636436242879,"dummy"
79,1636436843212,1636436544381,"dummy"
79,1636437443269,1636436843184,"dummy"
79,1636438043243,1636437443243,"dummy"
79,1636438342958,1636438043191,"dummy"
78,1636438643223,1636438342937,"dummy"
78,1636439243211,1636438643187,"dummy"
78,1636439843228,1636439243180,"dummy"
78,1636440144344,1636439843190,"dummy"
78,1636440444265,1636440144284,"dummy"
78,1636441042873,1636440444232,"dummy"
78,1636441765168,1636441042844,"dummy"
78,1636442351287,1636441765152,"dummy"
78,1636443231065,1636442351258,"dummy"
78,1636443742908,1636443231033,"dummy"
78,1636444042887,1636443742884,"dummy"
78,1636444643232,1636444042854,"dummy"
78,1636444943234,1636444643200,"dummy"
77,1636445243235,1636444943213,"dummy"
77,1636445843206,1636445243216,"dummy"
77,1636446443238,1636445843182,"dummy"
77,1636447043272,1636446443221,"dummy"
77,1636447343257,1636447043217,"dummy"
77,1636447643273,1636447343221,"dummy"
77,1636448003167,1636447643237,"dummy"
77,1636448242867,1636448003133,"dummy"
77,1636448543231,1636448242841,"dummy"
77,1636448843262,1636448543195,"dummy"
77,1636449143237,1636448843236,"dummy"
77,1636449742900,1636449143192,"dummy"
77,1636450043323,1636449742875,"dummy"
77,1636450642888,1636450043281,"dummy"
77,1636451243227,1636450642868,"dummy"
77,1636451843205,1636451243196,"dummy"
77,1636454737289,1636451843173,"dummy"
77,1636461476342,1636454737234,"dummy"
76,1636461816204,1636461476292,"dummy"
76,1636463396591,1636461816185,"dummy"
76,1636463842871,1636463396570,"dummy"
76,1636464442882,1636463842847,"dummy"
76,1636465343230,1636464442848,"dummy"
76,1636465643224,1636465343193,"dummy"
76,1636466243192,1636465643184,"dummy"
75,1636466842879,1636466243166,"dummy"
75,1636467443245,1636466842861,"dummy"
75,1636468042864,1636467443223,"dummy"
75,1636468344288,1636468042834,"dummy"
75,1636468942886,1636468344249,"dummy"
75,1636469243226,1636468942866,"dummy"
75,1636472697715,1636469243195,"dummy"
74,1636479399824,1636472697691,"dummy"
74,1636479404098,1636479399805,"dummy"
74,1636479404156,1636479404022,"dummy"
73,1636479742959,1636479404125,"dummy"
73,1636480043249,1636479742931,"dummy"
72,1636494231358,1636480043222,"dummy"
