"INSTANT","TAKES","LAT","LON","ALT","VACC","HACC","SPD","DIR"
120000,11367,40.061165,-0.1387077,234.1,40.049,40.049,0,0
251367,11136,40.06051,-0.1382055,237.90001,20.106,20.106,0,0
371367,11133,40.059982,-0.1376933,239.5,16.224,16.224,0,0
491367,16143,40.059963,-0.1377028,239.5,21.913,21.913,0.0011015632,235.5306
611367,11128,40.059925,-0.1377461,239.5,26.592,26.592,0,0
731367,11119,40.05994,-0.137749,239.5,23.589,23.589,0,0
851367,16120,40.059937,-0.1377199,239.5,23.381,23.381,0.075859174,233.19016
971367,11118,40.059967,-0.1376828,239.5,19.664,19.664,0,0
1091367,21082,40.059956,-0.13771,239.5,20.839,20.839,0.12366995,56.68561
1211367,18502,40.05994,-0.1377306,239.5,20.868,20.868,0.19758949,273.79486
1331367,21144,40.059975,-0.1376657,239.5,21.9,21.9,0.12991138,130.93803
1451367,21146,40.059986,-0.1377465,239.5,18.719,18.719,0.18604355,331.41354
1571367,10067,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1691367,11186,40.059975,-0.1377539,239.40001,18.153,18.153,0,0
1811367,11158,40.05997,-0.1377127,239.40001,16.314,16.314,0,0
1931367,11255,40.058647,-0.1389527,233.90001,21.118,21.118,0,0
2051367,11158,40.058964,-0.140015,234.40001,30.425,30.425,0,0
2171367,16298,40.0607,-0.1395819,234.5,63.966,63.966,0.94899404,100.981346
2291367,11187,40.061157,-0.138884,233.6,25.778,25.778,0,0
2411367,16166,40.062435,-0.1381246,229.90001,22.07,22.07,1.8965542,67.07852
2531367,16059,40.062378,-0.1375848,231.20001,24.566,24.566,0.022524847,232.728
